YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2019,5,40380,37750,Autotrader
2020,4,44543,39891,Autotrader
2020,4,58153,38987,Autotrader
2021,3,32989,41988,Autotrader
2023,1,12630,41885,Autotrader
2023,1,25914,39898,Autotrader
2023,1,12630,41885,Autotrader
2023,1,15142,41988,Autotrader
2023,1,9820,49999,Autotrader
2023,1,23378,39422,Autotrader
2024,0,5,57229,Autotrader
2018,6,49453,32998,CarGurus
2021,3,40343,38950,CarGurus
2021,3,39030,38911,CarGurus
2023,1,17332,45145,CarGurus
2019,5,41116,38990,Carvana
2019,5,50681,35990,Carvana
2020,4,12116,43990,Carvana
2020,4,60932,37990,Carvana
2022,2,46746,38990,Carvana
2022,3,37542,38990,Carvana
2022,3,26522,42590,Carvana
2023,1,16448,43590,Carvana
2023,1,7233,46990,Carvana
2017,7,136000,28888,Craigslist
2019,5,120000,31933,Craigslist
2019,5,40000,37750,Craigslist
2021,3,42000,39411,Craigslist
2023,1,6500,49900,Craigslist
2023,1,18000,44988,Craigslist
2023,1,13000,44988,Craigslist
2023,1,8048,46988,Craigslist
2024,0,5,46912,Craigslist
2019,5,40380,37750,KellyBlueBook
2019,5,35725,36798,KellyBlueBook
2020,4,44543,39891,KellyBlueBook
2020,4,58153,38987,KellyBlueBook
2021,3,39030,38911,KellyBlueBook
2021,3,40343,38950,KellyBlueBook
2023,1,21416,41699,KellyBlueBook
2023,1,25914,39898,KellyBlueBook
2023,1,12630,41885,KellyBlueBook
2023,1,15142,41988,KellyBlueBook
2023,1,9820,49999,KellyBlueBook
2023,1,23378,39422,KellyBlueBook
2023,1,22423,40998,KellyBlueBook
2023,1,29244,39508,KellyBlueBook
2023,1,25914,39898,KellyBlueBook
2023,1,21416,41699,KellyBlueBook
2023,1,21526,44415,KellyBlueBook
2023,1,2018,46890,KellyBlueBook
2023,1,12630,41885,KellyBlueBook
2024,0,10,48905,KellyBlueBook
2024,0,10,48425,KellyBlueBook
2024,0,1,50188,KellyBlueBook
2024,0,5,49763,KellyBlueBook
2024,0,4,50188,KellyBlueBook
